Product Name,Discount Prices(?),Actual Prices(?),Weight/Type,Discount Percentage(%),Rating,Users
Cetaphil DAM DAILY ADVANCE ULTRA HYDRATING LOTION,292,798,30 g,28% off,4.2,30
Parachute Advansed Deep Nourish Body Lotion,170,350,800 ml,18% off,4.4,8
Everyuth Naturals Naturals Body Lotion Nourishing Cocoa,181,450,200 ml,20% off,4.2,13
Nature's Essence Almonds & Honey Nourishing Whitening B...,119,435,400 ml,25% off,3.7,26
meglow Pro-Care Aloe Vera Body Lotion for Men & Women H...,340,504,150 ml,55% off,4.3,"84,617"
Lotus Botanicals 100% Shea & Almond Body Lotion.,315,540,280 ml,41% off,4.1,163
Vaseline Gluta Hya Dewy Radiance,359,279,200 ml,42% off,4.1,19
Vaseline Intensive Care Cocoa Glow Nourishing Body Seru...,292,770,400 ml,33% off,4.3,"91,510"
"BIOTIQUE Aloe Vera Lotion Spf 30 Sunscreen, 120 Ml",257,399,120 ml,21% off,4.3,"25,009"
ROSA Honey and Almond lotion 1000 ML| For Soft and Smoo...,373,799,1000 ml,32% off,4.5,729
mCaffeine Summer Breeze Perfume Body Lotion | Deeply Mo...,258,405,300 ml,25% off,4.3,11
"Parachute Advansed Deep Nourish Body Lotion, 600ml",279,350,600 ml,22% off,4.1,733
Pure Roots Moisturiser Lotion - Pack of 2 ( 400ml * 2 ),203,499,800 ml,25% off,4.7,7
Zavers Skin Glowing Lotion,526,773,500 ml,60% off,4.3,"2,47,834"
BEARDO Ultraglow Body Lotion for Men | Absorbs Instantl...,564,125,500,30% off,4.4,"3,98,320"
Oriflame Love Nature Mattifying Face Lotion (Pack of 2),441,499,100 ml,35% off,4.2,71
Vaseline intensive Care Deep Nourishing Body Lotion Moi...,373,575,600 ml,42% off,4.3,45
mCaffeine Sweet Escape Perfume Body Lotion |Deeply Butt...,241,420,300 ml,3% off,4.2,"64,529"
7days natural foot cream for cracked heels cracked heel...,272,999,100 g,43% off,4.4,"1,98,315"
MAUR'SMAYUR NATURALS Lavender Soft Touch Body Lotion fo...,159,345,500 ml,12% off,4.5,18
BAJAJ Almond Drops Nourishing Body Lotion,378,575,400 ml,30% off,4.7,9
"Vaseline Healthy Bright Daily Brightening Body Lotion,V...",270,649,400 ml,9% off,4.7,31
Nandini Organic Kale Moisturiser,234,499,100 ml,36% off,4,9
COROnation Herbal Cocoa & Shea Butter Body Lotion,326,220,300 ml,58% off,4.3,"14,905"
Moha Moisturising Lotion (Pack of 2),587,240,200 ml,30% off,4.5,"1,22,214"
BioSilk DAILY MOISTURIZING LOTION | 150gm,70,399,150 g,19% off,4.4,"3,527"
Multani Natural Cocoa Butter & Aloevera Body Lotion | N...,409,540,100 ml,53% off,4.2,173
Vaseline Healthy Bright Sun+Pollution Protection Body L...,300,"1,500",400 ml,5% off,4.4,"2,618"
LOTUS Safe Sun Body Lotion Calendula Extracts,"1,347",340,250 ml,12% off,4.4,"20,469"
BATH & BODY WORKS Dark Kiss 24 Hour Moisture Body Lotio...,353,577,236 ml,55% off,4.6,87
Parachute Advansed Advansed Soft Touch Body Lotion,349,490,800 ml,22% off,4.4,219
POND's Niacinamide Nourishing Body Lotion 400 ml,"1,475",80,400 ml,42% off,4.4,72
"Aveeno Active Naturals Skin Relief Moisturizing Lotion,...",587,585,354 ml,78% off,4.6,64
BioSilk Daily Moisturizing Lotion,638,652,150 ml,15% off,4.5,"2,87,188"
VLCC DeTan + White Glow Moisturising Body Lotion SPF 30...,241,899,700 ml,62% off,4.4,"1,664"
ROSA Moisturising lotion | For Soft and Smooth skin| Fo...,200,850,1000 ml,22% off,3.9,32
Joy Honey & Almonds Advanced Nourishing Body Lotion For...,339,499,500 ml,66% off,4,47
Vaseline intensive Care Deep Moisture Nourishing Body L...,463,300,400 ml,10% off,4.3,"6,485"
Hydrilla Daily moisturising lotion 200ml,403,399,200 ml,25% off,4.3,"56,541"
"Vaseline SUN PROTECTION LOTION SPF 30 400 ML, PACK OF 1",237,475,400 ml,28% off,4.3,11
Cetaphil DAM DAILY ADVANCE ULTRA HYDRATING LOTION,292,425,30 g,10% off,4.4,41
Parachute Advansed Deep Nourish Body Lotion,392,450,800 ml,48% off,4.1,65
HIMALAYA Intensive Cocoa Butter Deeply Moisturizes & Re...,267,435,400 ml,31% off,4.2,199
Vyomini Moringa Body Lotion For Moisturizing the Skin,275,420,200 ml,25% off,3.7,26
Epiclin Soap-Free Cleansing Lotion with Mild & Gentle F...,379,998,150 ml,55% off,4.3,"84,617"
NIVEA Shea Smooth ) Deep Moisture Serum,315,279,225 ml,46% off,5,2
Vaseline Gluta Hya Dewy Radiance,359,850,200 ml,38% off,4.3,"91,510"
Vaseline Intensive Care Cocoa Glow Nourishing Body Seru...,630,300,400 ml,20% off,4.3,"25,009"
Vaseline winter lotion deep resotre 400ml X 2,99,598,800 ml,32% off,4.1,238
Eloway Moisturizing Body Lotion with Aloe Vera | 48-Hou...,373,425,100 ml,25% off,4.2,91
mCaffeine Summer Breeze Perfume Body Lotion | Deeply Mo...,258,598,300 ml,30% off,4.4,120
"Parachute Advansed Deep Nourish Body Lotion, 600ml",244,515,600 ml,1% off,4.3,171
Biofresh Pure Herbal Aleo Vera Long Lasting Body Lotion...,575,350,600 ml,60% off,4.3,"2,47,834"
ADAM ZAC Enchanteur Charming Body Lotion Olive Butter a...,230,549,500 ml,30% off,4.4,"3,98,320"
Parachute Advansed Deep Nourish Body Lotion with Coconu...,450,440,400 ml,21% off,4.3,95
"Vaseline Daily Moisturizer for Dry Skin, Gives Non-Grea...",441,499,600 ml,2% off,4.1,134
Vaseline intensive Care Deep Nourishing Body Lotion Moi...,373,575,600 ml,15% off,4.2,"64,529"
mCaffeine Sweet Escape Perfume Body Lotion |Deeply Butt...,171,545,300 ml,9% off,4.4,"1,98,315"
Dabur Gulabari Moisturizing Body Lotion - 200ml,180,310,200 ml,12% off,4.3,23
Pure Roots Aloe Vera Lotion - Pack of 3 ( 100ml * 3 ),159,360,300 ml,30% off,3.8,459
BAJAJ Almond Drops Nourishing Body Lotion,378,649,400 ml,42% off,4,258
"Vaseline Healthy Bright Daily Brightening Body Lotion,V...",974,499,400 ml,3% off,4.4,17
YC WHITENING Donkey Milk Whitening Lotion 250g,195,360,250 g,58% off,4.5,"1,22,214"
Premium Khadi Rose and Honey Moisturizing Lotion,557,423,420 ml,30% off,4.3,"14,905"
DEWSOFT MOISTURIZATION LOTION,277,399,200 ml,39% off,5,3
shat pratishat 100% Natural Body Lotion Cedarwood,70,540,200 ml,40% off,3.5,14
Multani Natural Cocoa Butter & Aloevera Body Lotion | N...,409,980,100 ml,51% off,4.4,"2,618"
Vaseline Healthy Bright Sun+Pollution Protection Body L...,593,499,400 ml,85% off,4.4,"20,469"
efatop NEXT Lotion 150ml For Intense Moisturizer,569,300,150 ml,55% off,3.9,17
Rubz Cherry Blossom Body Milk with Cherry Blossom Extra...,353,525,1 L,22% off,4.1,"1,167"
Parachute Advansed Advansed Soft Touch Body Lotion,349,80,800 ml,24% off,4.6,269
POND's Niacinamide Nourishing Body Lotion 400 ml,241,585,400 ml,8% off,4.6,860
